artists,avg_popularity,track_count,avg_danceability,avg_energy,avg_mood,genres
Fetty Wap;Monty,58.429,7,0.679,0.739,0.641,"j-dance, j-pop"
Jain,58.4,5,0.795,0.672,0.589,"french, indie-pop, indie"
Berlin,58.4,5,0.509,0.695,0.653,synth-pop
The Seige,58.4,5,0.632,0.875,0.596,"alt-rock, alternative"
lofi.samurai,58.4,5,0.861,0.437,0.675,"chill, sad"
Unodavid,58.4,10,0.705,0.482,0.395,"emo, sad"
Seether,58.385,13,0.546,0.823,0.565,"grunge, metal"
Jamie xx,58.375,8,0.646,0.698,0.516,"electronic, garage"
Cascada,58.333,9,0.656,0.948,0.72,"german, techno"
Kidnap;Leo Stannard;Ben Böhmer;Nils Hoffmann,58.333,3,0.702,0.525,0.381,"garage, house"
Lata Mangeshkar,58.333,3,0.574,0.485,0.548,pop-film
Dani Martín,58.333,3,0.608,0.557,0.468,spanish
Jakob,58.333,3,0.608,0.54,0.477,garage
Snowy White,58.333,3,0.523,0.264,0.266,"blues, british"
Barrett Wilbert Weed;Ryan McCartan,58.333,3,0.478,0.365,0.386,show-tunes
Shady Moon,58.333,9,0.821,0.362,0.417,"chill, sad"
Boyscott,58.333,3,0.513,0.658,0.439,garage
Anna Landström,58.333,6,0.408,0.032,0.226,piano
Gorgon City;DRAMA,58.333,9,0.686,0.746,0.563,"deep-house, garage, groove"
me7k,58.333,6,0.828,0.309,0.324,"chill, sad"
salem ilese;TOMORROW X TOGETHER;Alan Walker,58.286,7,0.601,0.646,0.58,"indie-pop, indie, pop"
Shiloh Dynasty;Unclenathannn,58.25,4,0.584,0.242,0.353,chill
Otaku;LoFi Waiter,58.25,4,0.702,0.346,0.303,anime
Unni Menon,58.25,4,0.588,0.501,0.52,pop-film
WeiBird,58.25,4,0.6,0.542,0.447,mandopop
Gary Moore,58.222,9,0.39,0.462,0.459,"blues, british, hard-rock"
Ado,58.222,18,0.553,0.821,0.638,j-pop
Yuvan Shankar Raja;Haricharan;Tanvi Shah,58.2,5,0.707,0.528,0.596,"k-pop, pop-film"
IZAL,58.2,10,0.574,0.697,0.476,spanish
Marconi Union,58.143,7,0.216,0.219,0.175,ambient
Aphex Twin,58.067,15,0.487,0.278,0.279,"ambient, electronic"
Au/Ra;Alan Walker;Death Stranding: Timefall,58.0,2,0.667,0.503,0.552,"edm, electro"
Naresh Iyer,58.0,2,0.62,0.641,0.55,pop-film
Chris Lorenzo;Vintage Culture;High Jinx,58.0,2,0.674,0.778,0.389,"deep-house, groove"
Rigoberta Bandini;Amaia,58.0,2,0.656,0.723,0.587,spanish
CamelPhat;ARTBAT;RHODES,58.0,2,0.64,0.903,0.383,"deep-house, progressive-house"
Gen Hoshino,58.0,10,0.694,0.566,0.695,"acoustic, j-pop, singer-songwriter"
Bicep;Four Tet,58.0,2,0.826,0.72,0.46,"ambient, electronic"
ONE OK ROCK;Satoshi Fujihara,58.0,3,0.488,0.713,0.54,"emo, j-pop, j-rock"
Air;Beth Hirsch,58.0,3,0.432,0.454,0.323,"ambient, trip-hop"
WHTKD,58.0,2,0.769,0.443,0.531,"deep-house, groove"
GEMINI,58.0,4,0.708,0.676,0.631,chill
Robin Schulz;Akon,58.0,2,0.702,0.82,0.64,"deep-house, german"
LRN Slime,58.0,2,0.785,0.287,0.261,"chill, sad"
Promoting Sounds;Yung Trench;PRAYER,58.0,2,0.745,0.612,0.521,"emo, sad"
LAKEY INSPIRED,58.0,3,0.779,0.339,0.385,chill
Said The Sky;ILLENIUM;Chelsea Cutler,58.0,2,0.4,0.485,0.321,"dub, dubstep"
Excision;Wooli,58.0,3,0.319,0.983,0.561,"dub, dubstep, electronic"
Snakehips;ZAYN,58.0,3,0.603,0.879,0.542,"edm, electro, house"
Tiësto;Jonas Blue;Rita Ora,58.0,3,0.647,0.726,0.752,trance
Jon Hopkins;Kelly Lee Owens;Sultan + Shepard;Jerro,58.0,2,0.496,0.873,0.377,"ambient, electronic"
James Blake,58.0,2,0.411,0.435,0.289,electronic
Spencer Crandall,58.0,2,0.567,0.755,0.755,country
OAFF;Savera;Lothika;Ankur Tewari,58.0,5,0.309,0.299,0.235,"indian, indie-pop, indie"
MASN;Trippie Redd,58.0,3,0.907,0.409,0.503,"chill, emo, sad"
ODESZA,58.0,6,0.588,0.775,0.496,chill
Chris Andrian Yang,58.0,2,0.753,0.083,0.414,"singer-songwriter, songwriter"
Nohidea;Ben Beal;sophie meiers,58.0,2,0.531,0.487,0.644,"chill, sad"
Sunbeam Sound Machine,58.0,2,0.332,0.786,0.581,"garage, psych-rock"
Ledetraad,58.0,3,0.36,0.163,0.237,piano
Samm Henshaw,58.0,3,0.627,0.831,0.821,"british, soul"
White Noise Baby Sleep;White Noise for Babies,58.0,2,0.044,0.002,0.0,sleep
Fleurie;Tommee Profitt,58.0,2,0.433,0.152,0.119,"singer-songwriter, songwriter"
Neeraj Shridhar;Master Saleem;Suzi Q,58.0,2,0.78,0.904,0.76,"hip-hop, pop-film"
Neeraj Shridhar,58.0,2,0.719,0.945,0.827,"hip-hop, pop-film"
Ryuichi Sakamoto;Jaques Morelenbaum;Everton Nelson,58.0,2,0.493,0.175,0.237,"ambient, anime"
Fly By Midnight;Clara Mae,58.0,2,0.63,0.659,0.659,"electro, house"
Skillibeng;Fivio Foreign;French Montana,58.0,2,0.95,0.825,0.77,"dancehall, j-dance"
Skillibeng;F.S.,58.0,2,0.895,0.78,0.666,"dancehall, j-dance"
Chase & Status;Clementine Douglas,58.0,2,0.488,0.815,0.365,drum-and-bass
Zeds Dead;Subtronics;Flowdan,58.0,3,0.643,0.985,0.503,"dub, dubstep, electronic"
Zach Diamond,58.0,5,0.765,0.583,0.55,sad
Tangerine Wong,58.0,2,0.684,0.683,0.679,"malay, mandopop"
Ram Sampath,58.0,2,0.66,0.926,0.809,"hip-hop, pop-film"
Fondo Flamenco,58.0,4,0.666,0.85,0.768,spanish
Purple Disco Machine;Sophie and the Giants,58.0,5,0.693,0.786,0.761,"deep-house, house"
Gloria Laing,58.0,2,0.827,0.195,0.215,"singer-songwriter, songwriter"
Biscits;Karen Harding,58.0,2,0.701,0.83,0.835,"deep-house, groove"
A.R. Rahman;Naresh Iyer,58.0,2,0.676,0.642,0.606,pop-film
Jet Black Stare,58.0,2,0.399,0.925,0.734,grunge
Carl Perkins,58.0,2,0.548,0.673,0.848,"rock-n-roll, rockabilly"
Soothe My Soul,58.0,2,0.103,0.005,0.023,sleep
China Anne McClain,58.0,2,0.618,0.802,0.624,disney
Sukhwinder Singh;Bhoomi Trivedi;Karsan Sagathia,58.0,2,0.507,0.752,0.873,"hip-hop, pop-film"
Hoàng Dũng,58.0,2,0.518,0.403,0.278,"singer-songwriter, songwriter"
Tobtok;Jem Cooke,58.0,2,0.563,0.735,0.438,"deep-house, groove"
Ini Kamoze,58.0,2,0.852,0.537,0.505,"dub, reggae"
Marksman,58.0,2,0.725,0.604,0.511,"dancehall, j-dance"
Danny G;Shiloh Dynasty,58.0,2,0.77,0.621,0.429,"chill, sad"
Stract;Shiloh Dynasty;Burgettii,58.0,2,0.963,0.417,0.593,"chill, sad"
Reivaj Ebol,58.0,2,0.332,0.076,0.209,piano
Yo Yo Honey Singh;Deep Money,58.0,2,0.754,0.914,0.885,"hip-hop, pop-film"
DVBBS;Benny Benassi;Kyle Reynolds,58.0,2,0.707,0.678,0.536,"electronic, progressive-house"
Marcelo Markes;Sarah Beatriz,58.0,2,0.43,0.706,0.333,"brazil, gospel"
Donovan Woods,58.0,2,0.525,0.394,0.306,acoustic
Edward Maya;Vika Jigulina,58.0,2,0.782,0.813,0.594,house
DJ Snake;Justin Bieber;R3HAB,58.0,3,0.433,0.82,0.65,"edm, electro, electronic"
Víkingur Ólafsson,58.0,2,0.37,0.02,0.159,piano
Vicky Chen,58.0,2,0.464,0.387,0.336,mandopop
Maleek Berry,58.0,3,0.814,0.567,0.695,"dancehall, swedish"
Hasan Raheem;Abdullah Kasumbi,58.0,4,0.655,0.528,0.599,"indie-pop, indie"
ilyTOMMY;Savage Ga$p,58.0,2,0.683,0.636,0.623,"emo, sad"
Pritam;Amit Mishra;Shilpa Rao,58.0,2,0.552,0.769,0.729,indian
Monkey Safari;Joris Voorn,58.0,2,0.608,0.637,0.369,"deep-house, electronic"
Abby Cates,58.0,2,0.675,0.316,0.434,"singer-songwriter, songwriter"
Yuvan Shankar Raja;Karthik;Reeta,58.0,2,0.706,0.735,0.79,"k-pop, pop-film"
Howie Day,58.0,4,0.521,0.535,0.397,acoustic
Anirudh Ravichander;Sid Sriram,58.0,2,0.515,0.766,0.514,hip-hop
The Cab,58.0,13,0.537,0.795,0.646,"indie-pop, punk-rock, punk"
doVicente,58.0,2,0.753,0.809,0.569,"deep-house, french"
Steve Aoki;Alan Walker;ISÁK,58.0,2,0.517,0.793,0.423,"edm, house"
Kamal Haasan;Shreya Ghoshal,58.0,2,0.712,0.439,0.47,"k-pop, pop-film"
TroyBoi;Diplo;Nina Sky,58.0,4,0.74,0.831,0.547,"edm, electro, electronic"
Ozuna;Tokischa;Louchie Lou;Michie One,58.0,4,0.836,0.64,0.517,"latin, latino, reggae"
Michael Bublé;Meghan Trainor,58.0,2,0.671,0.539,0.776,"j-pop, jazz"
Michael Calfan,58.0,4,0.724,0.734,0.631,"deep-house, progressive-house"
Dombresky,58.0,2,0.847,0.934,0.891,"deep-house, groove"
Priscilla Abby,58.0,2,0.63,0.309,0.217,"malay, mandopop"
Mika Singh,58.0,2,0.753,0.89,0.526,"hip-hop, pop-film"
Major Lazer;Justin Bieber;MØ,58.0,4,0.608,0.798,0.619,"dance, edm, electro"
ASCA,58.0,2,0.483,0.946,0.618,"anime, j-rock"
D.O.D;Raphaella,58.0,2,0.69,0.847,0.633,"deep-house, groove"
Mr. Belt & Wezol;RSCL,58.0,2,0.868,0.69,0.55,"deep-house, groove"
Korsakoff;Broken Minds,58.0,2,0.299,0.982,0.417,"happy, techno"
Coffee Cub,58.0,3,0.65,0.566,0.388,french
Hannah Wants;Chris Lorenzo,58.0,2,0.895,0.561,0.631,"deep-house, groove"
Cold War Kids;Bishop Briggs,58.0,2,0.587,0.894,0.844,"blues, piano"
I Don't Like Mondays.,58.0,2,0.53,0.822,0.637,"j-pop, j-rock"
MOTi,58.0,2,0.798,0.72,0.598,progressive-house
Beave,58.0,2,0.672,0.824,0.672,groove
Jack Wins;Joe Stone,58.0,2,0.613,0.874,0.585,"deep-house, groove"
Konteks,58.0,2,0.782,0.293,0.239,"chill, jazz"
Junerule;Weisser Quiff,58.0,2,0.733,0.475,0.248,"deep-house, french"
Music Travel Love,58.0,3,0.687,0.343,0.479,country
Murcof;Vanessa Wagner,58.0,2,0.395,0.083,0.104,"ambient, j-dance"
KANA-BOON;もっさ,58.0,3,0.565,0.811,0.739,"anime, j-pop, j-rock"
Harris Jayaraj;Karthik,58.0,2,0.695,0.505,0.487,pop-film
Crimson Memoirs,58.0,2,0.254,0.087,0.18,piano
Sukhwinder Singh;Ayesha Darbar;S. P. Sailaja,58.0,2,0.649,0.525,0.506,"hip-hop, pop-film"
Crumb,58.0,19,0.52,0.461,0.354,"garage, psych-rock"
Klingande,58.0,2,0.715,0.605,0.489,deep-house
Ozuna;El Cherry Scom,58.0,4,0.913,0.722,0.616,"latin, latino, reggae"
Boy George,58.0,2,0.69,0.436,0.549,synth-pop
Justin Park,58.0,3,0.673,0.471,0.453,chill
JADED;Carlita,58.0,2,0.69,0.881,0.75,"deep-house, groove"
JORDY,58.0,2,0.68,0.534,0.46,"singer-songwriter, songwriter"
Novo Amor;Ed Tullett;Lowswimmer,57.917,12,0.369,0.276,0.194,"ambient, folk, indie"
MR TOUT LE MONDE,57.917,12,0.597,0.63,0.362,french
Aaryan Shah,57.875,8,0.568,0.53,0.396,soul
shy martin,57.857,14,0.631,0.429,0.367,"electro, swedish"
Boys Like Girls,57.857,7,0.472,0.881,0.67,"punk-rock, punk"
Hot Chelle Rae,57.833,6,0.651,0.816,0.791,"punk-rock, punk"
Dan Auerbach,57.833,6,0.498,0.716,0.704,"blues, garage"
Brent Morgan,57.8,10,0.56,0.324,0.318,"singer-songwriter, songwriter"
Secondhand Serenade,57.714,7,0.459,0.364,0.363,"piano, punk-rock, punk"
Bauhaus,57.667,3,0.478,0.598,0.506,goth
Crowd Lu,57.667,3,0.537,0.253,0.319,mandopop
DaniSogen,57.667,6,0.628,0.24,0.188,chill
ARTY,57.667,3,0.59,0.912,0.664,progressive-house
Alpha Wolf,57.667,3,0.474,0.981,0.48,"hardcore, metalcore"
Zero 7;Sophie Barker,57.667,3,0.569,0.362,0.338,"electronic, trip-hop"
The Crystals,57.667,6,0.469,0.719,0.662,"rock-n-roll, rockabilly"
Love,57.667,3,0.563,0.388,0.441,psych-rock
理想混蛋,57.667,3,0.507,0.33,0.4,mandopop
Sachin-Jigar;Arijit Singh;Priya Saraiya,57.667,3,0.675,0.392,0.477,"hip-hop, pop-film"
SID,57.667,9,0.481,0.9,0.785,"anime, j-pop, metal"
Tina Turner,57.625,8,0.704,0.609,0.684,disco
Audioslave,57.609,23,0.459,0.744,0.519,"alt-rock, alternative, grunge"
Buddy Holly,57.6,5,0.559,0.543,0.619,"rock-n-roll, rockabilly"
Tenno,57.583,12,0.509,0.353,0.231,chill
Valley,57.571,7,0.712,0.458,0.443,"electro, indie-pop, indie"
Sam Tinnesz,57.571,7,0.5,0.777,0.631,"alt-rock, blues"
Sick Puppies,57.571,7,0.445,0.823,0.586,"alt-rock, grunge, metal"
Boyce Avenue;Jennel Garcia,57.5,2,0.664,0.344,0.41,acoustic
SawanoHiroyuki[nZk];mizuki,57.5,2,0.561,0.835,0.576,anime
"""Puppy Dog Pals"" Cast",57.5,2,0.705,0.856,0.892,children
Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,57.5,8,0.417,0.403,0.186,"ambient, classical"
Pritam;Nikhil D'Souza,57.5,2,0.544,0.7,0.537,indian
Lupe Sinsonte,57.5,2,0.374,0.031,0.105,piano
Go West,57.5,2,0.614,0.866,0.9,synth-pop
Tristam;Braken,57.5,6,0.434,0.741,0.482,"chill, dub, dubstep"
Kaiser Chiefs,57.5,2,0.513,0.86,0.605,rock
NSG;Tion Wayne,57.5,2,0.836,0.621,0.706,dancehall
Sash!,57.5,2,0.653,0.936,0.702,techno
La Casa Azul,57.5,2,0.674,0.893,0.661,spanish
Elliott Trent,57.5,2,0.682,0.491,0.391,"chill, soul"
Los Rebujitos,57.5,2,0.586,0.704,0.672,spanish
YNG Martyr,57.5,4,0.783,0.439,0.58,sad
Elton John;Charlie Puth,57.5,2,0.501,0.556,0.321,piano
Teqkoi;Snøw,57.5,4,0.712,0.29,0.234,"chill, sad"
Uttam Singh;Lata Mangeshkar;Udit Narayan;Anand Bakshi,57.5,2,0.718,0.595,0.734,pop-film
Luna Li,57.5,2,0.535,0.628,0.588,garage
Lil Revive,57.5,2,0.642,0.568,0.395,emo
Idealism,57.5,4,0.657,0.428,0.471,chill
Unknown Brain;Marvin Divine,57.5,2,0.624,0.848,0.514,edm
Roderick Porter;Ivri,57.5,2,0.673,0.376,0.352,"emo, sad"
GASHI;French Montana;DJ Snake,57.5,2,0.449,0.597,0.542,soul
Tchami;Gunna,57.5,6,0.737,0.681,0.752,"deep-house, groove, progressive-house"
Enrique Iglesias;Ludacris;DJ Frank E,57.5,2,0.65,0.887,0.537,latin
Austin George,57.5,4,0.628,0.615,0.562,sad
FantasticYouth,57.5,2,0.664,0.776,0.737,anime
KANKAKU PIERO,57.5,6,0.392,0.979,0.638,"anime, j-pop, j-rock"
Ryan Oakes,57.5,2,0.694,0.464,0.353,sad
Dirty Rush & Gregor Es,57.5,2,0.689,0.919,0.612,progressive-house
TK from Ling tosite sigure,57.429,14,0.524,0.803,0.533,"anime, j-pop, j-rock"
John De Sohn,57.429,7,0.64,0.719,0.619,"progressive-house, swedish"
Eric Chou,57.421,19,0.491,0.484,0.403,mandopop
Andrew Belle,57.421,19,0.52,0.593,0.39,"acoustic, folk"
Firehouse,57.417,12,0.513,0.633,0.515,"hard-rock, metal"
Julien Baker;Phoebe Bridgers;Lucy Dacus,57.4,5,0.489,0.356,0.271,ambient
SHRK;Shiloh Dynasty,57.4,15,0.746,0.328,0.311,"chill, sad"
Loathe,57.333,3,0.435,0.817,0.41,metalcore
KSHMR,57.333,3,0.662,0.812,0.521,progressive-house
Yellow Claw;Yade Lauren,57.333,6,0.697,0.766,0.767,"edm, electro, electronic"
Pritam;Darshan Raval;Antara Mitra,57.333,3,0.551,0.632,0.479,indian
Reol,57.333,6,0.555,0.934,0.789,"anime, j-rock"
James Heather,57.333,3,0.299,0.105,0.085,ambient
Gentle Bones,57.333,3,0.667,0.53,0.406,chill
Yuvan Shankar Raja;Dhanush;Dhee,57.333,3,0.669,0.703,0.633,"k-pop, pop-film"
Matt Nathanson,57.333,3,0.59,0.668,0.605,acoustic
My Darkest Days,57.3,10,0.485,0.872,0.638,"grunge, metal"
The Weepies;Deb Talan;Steve Tannen,57.25,4,0.658,0.346,0.432,acoustic
Good Morning,57.25,8,0.481,0.504,0.502,garage
Farasat Anees;Slick Trick;Toshi,57.25,4,0.73,0.625,0.416,"electro, electronic, hip-hop"
Weston Estate,57.222,9,0.612,0.528,0.466,chill
Harold van Lennep,57.2,5,0.679,0.76,0.567,"deep-house, french"
Kochetkovv,57.167,18,0.742,0.28,0.317,"chill, sad"
MASN,57.143,28,0.634,0.654,0.537,"chill, emo, sad"
Ludovico Einaudi,57.136,44,0.297,0.071,0.098,"ambient, classical"
Five Finger Death Punch,57.122,49,0.486,0.922,0.579,"groove, metal"
Khantrast,57.111,18,0.721,0.773,0.643,"anime, sad"
No Vacation,57.111,9,0.482,0.718,0.504,garage
Deep Chills,57.1,10,0.727,0.62,0.652,"deep-house, french, house"
Zeds Dead;Blanke,57.0,4,0.504,0.888,0.579,"dub, dubstep, electronic"
Babe Rainbow,57.0,2,0.629,0.597,0.681,"garage, psych-rock"
mj apanay,57.0,2,0.702,0.322,0.553,chill
TYSM,57.0,2,0.773,0.533,0.324,"electro, indie"
Jillian Rossi;Caleb Hearn,57.0,2,0.514,0.512,0.333,"singer-songwriter, songwriter"
M-22,57.0,4,0.672,0.804,0.474,"deep-house, groove"
Salim–Sulaiman;Sonu Nigam;Shreya Ghoshal;Jaideep Sahni,57.0,3,0.405,0.745,0.749,"folk, indian, pop-film"
Tycho;Saint Sinner;Satin Jackets,57.0,2,0.708,0.771,0.531,"chill, electronic"
Heart,57.0,5,0.491,0.561,0.513,hard-rock
Strawberry Switchblade,57.0,2,0.426,0.732,0.776,"goth, synth-pop"
He Is We;Owl City,57.0,3,0.44,0.547,0.438,"emo, punk-rock, punk"
KSHMR;Lost Stories;Kavita Seth,57.0,5,0.629,0.821,0.603,"edm, electro, house"
M-22;Medina,57.0,2,0.705,0.838,0.467,"deep-house, groove"
The BREED,57.0,2,0.67,0.456,0.536,"chill, jazz"
Insomniacks,57.0,3,0.396,0.526,0.364,malay
Hariharan;Clinton Cerejo,57.0,2,0.588,0.364,0.483,pop-film
Jess Bays;Leah Guest,57.0,2,0.713,0.765,0.603,"deep-house, groove"
Erland Cooper,57.0,2,0.354,0.039,0.175,ambient
Haricharan,57.0,2,0.593,0.501,0.402,pop-film
ATB;Topic;A7S;Tiësto,57.0,2,0.689,0.914,0.645,"techno, trance"
KILJ,57.0,2,0.681,0.62,0.532,sad
The Avalanches,57.0,2,0.495,0.858,0.648,psych-rock
Maur;Goodboys,57.0,2,0.564,0.868,0.51,"deep-house, groove"
nobody likes you pat,57.0,2,0.557,0.532,0.654,"singer-songwriter, songwriter"
L'Impératrice,57.0,11,0.75,0.467,0.481,"french, synth-pop"
Gustavo Santaolalla;Diego Luna,57.0,2,0.476,0.219,0.252,ambient
Yiruma;Ólafur Arnalds,57.0,2,0.417,0.029,0.182,"new-age, piano"
Said The Sky;William Black;SayWeCanFly,57.0,2,0.463,0.773,0.431,"dub, dubstep"
Amaral,57.0,3,0.541,0.778,0.612,spanish
Jack Wins;ManyFew,57.0,2,0.549,0.946,0.492,"deep-house, groove"
Jacques Offenbach;Helmuth Brandenburg,57.0,2,0.429,0.535,0.77,"french, opera"
Madhusree;Naresh Iyer,57.0,3,0.732,0.654,0.696,"k-pop, pop-film"
Shogun,57.0,2,0.616,0.938,0.477,"progressive-house, trance"
Eazy-E,57.0,5,0.784,0.772,0.729,"funk, hardcore"
Alan Walker;David Whistle,57.0,2,0.641,0.824,0.484,"electro, house"
Bibio,57.0,7,0.438,0.321,0.265,"ambient, chill, electronic"
Sukhwinder Singh;Manikka Vinayagam,57.0,2,0.766,0.909,0.67,"hip-hop, pop-film"
Manudigital;Joseph Cotton,57.0,2,0.831,0.854,0.787,"dub, french"
Lata Mangeshkar;Kishore Kumar,57.0,2,0.367,0.299,0.349,pop-film
Nbdy,57.0,4,0.581,0.475,0.438,chill
Lata Mangeshkar;Kumar Sanu,57.0,2,0.506,0.625,0.727,pop-film
Jubin Nautiyal;Prakriti Kakar;Tanishk Bagchi;Anand-Milind,57.0,2,0.325,0.421,0.291,"k-pop, pop-film"
James Hype;Craig David,57.0,2,0.73,0.934,0.828,"deep-house, groove"
SLANDER;William Black,57.0,2,0.586,0.499,0.363,"dub, dubstep"
The Pretty Things,57.0,4,0.584,0.284,0.345,"blues, british, garage"
Panta Ray,57.0,3,0.738,0.428,0.233,french
Leeland,57.0,11,0.444,0.621,0.393,"alt-rock, alternative, world-music"
Westend,57.0,2,0.756,0.748,0.706,"deep-house, groove"
Choi Yuree,57.0,2,0.582,0.137,0.214,"singer-songwriter, songwriter"
JVKE;ILLENIUM;NURKO,57.0,2,0.453,0.771,0.354,"indie-pop, indie"
Yves V,57.0,2,0.682,0.754,0.582,progressive-house
Martin Ikin;Dope Earth Alien,57.0,3,0.704,0.989,0.904,"deep-house, disco, groove"
NTO;Sofiane Pamart,57.0,2,0.638,0.365,0.248,"minimal-techno, techno"
Isaias Saad;Theo Rubia,57.0,2,0.368,0.519,0.317,"brazil, gospel"
KAAZE;Nino Lucarelli,57.0,2,0.467,0.772,0.571,progressive-house
Salman Elahi,57.0,3,0.776,0.477,0.655,"indian, singer-songwriter, songwriter"
Jecin George;Pearle Maaney;Srinish Aravind,57.0,2,0.436,0.544,0.405,"edm, indian"
Albin Svensson,57.0,2,0.389,0.057,0.122,piano
miwa,57.0,3,0.442,0.973,0.77,"anime, j-pop, j-rock"
Lvne;EE,57.0,2,0.718,0.556,0.47,french
Zmeyev;Screen Jazzmaster,57.0,2,0.696,0.308,0.577,"chill, jazz"
for KING & COUNTRY;Kirk Franklin;Tori Kelly,57.0,2,0.389,0.785,0.604,world-music
Pritam;Arijit Singh;Badshah;Jonita Gandhi;Nakash Aziz,57.0,2,0.818,0.93,0.871,indian
Tanir;Tyomcha;Jarico,57.0,3,0.774,0.907,0.777,"indie-pop, indie, k-pop"
JON VINYL,57.0,2,0.693,0.467,0.472,chill
Emma Watson;Dan Stevens;Ewan McGregor;Ian McKellen;Emma Thompson;Nathan Mack;Gugu Mbatha-Raw,57.0,2,0.45,0.317,0.412,"disney, show-tunes"
Chris Lorenzo;LP Giobbi;High Jinx,57.0,2,0.61,0.966,0.765,"deep-house, groove"
Jay Chou;Ashin Chen,57.0,2,0.512,0.356,0.36,mandopop
Chris Lake;Green Velvet,57.0,2,0.881,0.883,0.933,"deep-house, groove"
Emily Nash;Olivia Sebastianelli,57.0,2,0.742,0.678,0.431,"deep-house, groove"
Andrew Rayel;Sam Gray,57.0,2,0.706,0.894,0.643,"progressive-house, trance"
SLANDER;Ganja White Night,57.0,2,0.392,0.472,0.22,"dub, dubstep"
Lynk Lee,57.0,2,0.704,0.542,0.448,"singer-songwriter, songwriter"
Pink Sweat$;SEVENTEEN,57.0,2,0.615,0.383,0.337,"chill, soul"
Vijay Antony;Jayarajagopalam;Sathya Lakshmi,57.0,2,0.778,0.816,0.824,"k-pop, pop-film"
Long Shot Party,57.0,2,0.462,0.955,0.703,"j-pop, ska"
Kayzo;Bad Omens,57.0,2,0.638,0.961,0.783,"dub, dubstep"
Tine Mydland,57.0,2,0.158,0.006,0.049,sleep
supercell,57.0,2,0.394,0.918,0.562,"anime, j-pop"
Benny Dayal;Madurai Soulijos,57.0,2,0.703,0.834,0.656,"hip-hop, pop-film"
Kamal Haasan;Priya Hemesh,57.0,2,0.514,0.475,0.288,"k-pop, pop-film"
Buddy Guy;Bonnie Raitt,57.0,2,0.572,0.348,0.343,"acoustic, blues"
DIRTYXAN,57.0,3,0.88,0.546,0.612,sad
Luke Howard,57.0,3,0.315,0.029,0.094,ambient
Puddle Of Mudd,57.0,6,0.465,0.876,0.638,"grunge, metal"
Johnny Hates Jazz,57.0,3,0.664,0.716,0.778,synth-pop
Darren Styles;Da Tweekaz,57.0,3,0.478,0.878,0.525,"happy, hardcore, techno"
Vijay Antony;Krishh;Suchitra,57.0,2,0.807,0.843,0.621,"k-pop, pop-film"
Foxygen,57.0,2,0.467,0.645,0.684,"garage, psych-rock"
Motionless In White;Lindsay Schoolcraft,57.0,2,0.526,0.944,0.546,metalcore
Popcaan;Drake,57.0,2,0.573,0.427,0.247,"dancehall, j-dance"
Lucky Luke;Emie,57.0,2,0.685,0.496,0.233,"electro, electronic"
Re-Style;Sefa,57.0,3,0.472,0.929,0.411,"happy, hardcore, techno"
Dallerium;Olive,57.0,2,0.74,0.759,0.392,"deep-house, groove"
Zariya;Aseem,57.0,4,0.609,0.539,0.463,"indian, indie, singer-songwriter"
Scooter;Timmy Trumpet,57.0,3,0.504,0.891,0.533,"happy, hardcore, techno"
ILLENIUM;Tori Kelly,57.0,2,0.392,0.737,0.536,"dub, dubstep"
tyDi;Electric Polar Bears;neverwaves,57.0,2,0.621,0.955,0.636,"progressive-house, trance"
Lui Joseph,57.0,2,0.773,0.461,0.486,sad
ILLENIUM;Tom DeLonge;Angels & Airwaves;Headhunterz,57.0,2,0.398,0.799,0.492,"dub, dubstep"
Saib,57.0,2,0.691,0.42,0.551,chill
Foreign Air,57.0,2,0.577,0.583,0.477,"alt-rock, soul"
John Mayall & The Bluesbreakers;Eric Clapton,57.0,2,0.321,0.625,0.716,"blues, british"
Vijay Antony;Dinesh,57.0,2,0.739,0.738,0.737,"k-pop, pop-film"
Steve Aoki;Quintino,57.0,3,0.604,0.964,0.432,"edm, electro, house"
Rory Gallagher,57.0,4,0.307,0.672,0.674,"blues, british"
TSHA;Clementine Douglas,57.0,2,0.593,0.867,0.749,electronic
DRAY,57.0,2,0.436,0.874,0.664,"deep-house, groove"
Piotr Wiese,57.0,2,0.348,0.09,0.24,piano
The Chainsmokers;ILLENIUM;Lennon Stella;pilton,57.0,3,0.515,0.696,0.595,"edm, electro, house"
bdrmm,57.0,2,0.51,0.805,0.797,"garage, psych-rock"
Syd Matters,57.0,2,0.354,0.476,0.262,french
Ilkan Gunuc;Emie,57.0,2,0.82,0.857,0.754,"deep-house, turkish"
DVBBS;MKLA,57.0,2,0.555,0.827,0.377,"electronic, progressive-house"
Ray LaMontagne,56.909,11,0.534,0.372,0.403,acoustic
Killswitch Engage,56.909,11,0.414,0.972,0.532,"metal, metalcore"
brakence,56.9,10,0.553,0.565,0.646,"emo, sad"
The Smiths,56.893,28,0.488,0.712,0.682,"punk-rock, punk, rock"
Motohiro Hata,56.875,16,0.52,0.687,0.559,"acoustic, j-pop, j-rock"
convolk,56.875,8,0.631,0.704,0.472,"emo, sad"
Yugo Kanno,56.857,7,0.468,0.777,0.551,anime
高爾宣 OSN,56.857,7,0.725,0.674,0.608,mandopop
The Heavy,56.857,7,0.596,0.732,0.558,"blues, garage"
Kris Bowers,56.8,5,0.462,0.097,0.261,"jazz, piano"
Pop Evil,56.8,5,0.543,0.828,0.626,grunge
